Date,BidAsk,Vol,Open,High,Low,Close
2022-09-19 11:18:00,195,8075,3899.25,3902.75,3898.5,3898.5
2022-09-19 11:19:00,-330,4865,3898.0,3898.5,3895.5,3895.75
2022-09-19 11:20:00,-295,4963,3896.0,3896.25,3893.25,3893.5
2022-09-19 11:21:00,-625,6863,3893.75,3893.75,3890.5,3891.0
2022-09-19 11:22:00,211,5035,3891.0,3893.75,3891.0,3893.75
2022-09-19 11:23:00,-233,3484,3893.5,3893.5,3891.0,3893.0
2022-09-19 11:24:00,-1202,8362,3893.5,3894.0,3889.5,3890.0
2022-09-19 11:25:00,-268,6236,3889.75,3891.25,3888.0,3889.25
2022-09-19 11:26:00,-685,5905,3888.75,3889.0,3886.75,3887.5
2022-09-19 11:27:00,-174,3907,3887.25,3887.75,3886.0,3886.25
2022-09-19 11:28:00,-246,3725,3886.25,3886.5,3885.25,3885.25
2022-09-19 11:29:00,104,4587,3885.25,3885.25,3884.0,3884.0
2022-09-19 11:30:00,73,4491,3883.75,3884.75,3883.5,3884.25
2022-09-19 11:31:00,-368,7683,3884.25,3884.25,3879.25,3880.5
2022-09-19 11:32:00,106,5180,3879.75,3882.5,3879.5,3881.5
2022-09-19 11:33:00,32,4985,3881.75,3884.0,3881.5,3882.0
2022-09-19 11:34:00,-227,3952,3882.5,3882.75,3881.0,3881.25
2022-09-19 11:35:00,-608,5444,3881.25,3881.25,3878.0,3878.75
2022-09-19 11:36:00,-257,5723,3878.5,3880.0,3876.75,3877.75
2022-09-19 11:37:00,-380,7072,3877.75,3878.5,3874.75,3875.5
2022-09-19 11:38:00,17,65,3875.25,3875.25,3875.25,3875.25
