Date,BidAsk,Vol,Open,High,Low,Close
2022-10-27 03:06:00,11,10.0,11451.5,11461.0,11449.75,11456.5
2022-10-27 03:09:00,175,10.0,11456.5,11474.75,11455.25,11471.0
2022-10-27 03:12:00,-25,9.0,11470.5,11477.25,11462.25,11463.25
2022-10-27 03:15:00,-49,6.0,11463.5,11471.0,11461.25,11468.25
2022-10-27 03:18:00,-28,5.0,11468.0,11469.5,11455.0,11468.0
2022-10-27 03:21:00,-21,8.0,11467.75,11474.5,11460.75,11468.5
2022-10-27 03:24:00,16,7.0,11468.75,11471.25,11456.5,11466.75
2022-10-27 03:27:00,-253,29.0,11466.75,11467.75,11437.0,11440.0
2022-10-27 03:30:00,-13,7.0,11441.0,11449.25,11436.0,11446.0
2022-10-27 03:33:00,-32,6.0,11445.5,11449.0,11439.75,11442.75
2022-10-27 03:36:00,-121,5.0,11442.25,11444.75,11435.0,11437.0
2022-10-27 03:39:00,-28,5.0,11436.5,11445.5,11433.75,11443.25
2022-10-27 03:42:00,-24,10.0,11443.0,11449.25,11438.5,11448.0
2022-10-27 03:45:00,-32,10.0,11447.25,11451.0,11438.0,11443.25
2022-10-27 03:48:00,-10,7.0,11444.25,11448.0,11440.75,11443.0
2022-10-27 03:51:00,-11,3.0,11443.0,11450.0,11440.5,11442.5
2022-10-27 03:54:00,33,4.0,11443.0,11446.0,11438.0,11441.5
2022-10-27 03:57:00,-30,4.0,11441.5,11449.25,11439.25,11444.25
2022-10-27 04:00:00,-99,11.0,11443.75,11448.5,11436.25,11447.25
2022-10-27 04:03:00,-7,29.0,11447.5,11452.25,11439.25,11441.25
2022-10-27 04:06:00,-73,29.0,11441.0,11444.25,11428.25,11432.5
2022-10-27 04:09:00,-238,9.0,11432.25,11435.5,11428.75,11433.75
2022-10-27 04:12:00,85,6.0,11433.75,11452.5,11432.25,11451.25
2022-10-27 04:15:00,48,20.0,11452.0,11468.25,11451.75,11465.25
2022-10-27 04:18:00,-87,9.0,11464.5,11467.5,11455.5,11455.75
2022-10-27 04:21:00,-44,8.0,11456.0,11459.75,11447.5,11449.5
2022-10-27 04:24:00,42,4.0,11449.75,11456.25,11448.5,11454.75
2022-10-27 04:27:00,-12,8.0,11455.5,11462.5,11452.5,11453.75
2022-10-27 04:30:00,20,5.0,11453.75,11459.5,11451.5,11458.0
2022-10-27 04:33:00,27,4.0,11458.75,11461.25,11455.5,11455.75
2022-10-27 04:36:00,-8,6.0,11456.0,11459.25,11455.0,11457.0
2022-10-27 04:39:00,-191,5.0,11458.0,11458.5,11441.5,11442.75
2022-10-27 04:42:00,10,4.0,11442.0,11449.75,11440.5,11449.25
2022-10-27 04:45:00,-20,4.0,11449.25,11451.0,11443.0,11446.0
2022-10-27 04:48:00,1,10.0,11445.75,11456.25,11444.25,11453.75
2022-10-27 04:51:00,47,6.0,11454.5,11457.0,11445.5,11448.25
2022-10-27 04:54:00,-23,4.0,11448.5,11450.0,11442.75,11445.0
2022-10-27 04:57:00,-83,3.0,11445.25,11447.5,11438.5,11439.0
2022-10-27 05:00:00,-43,3.0,11439.5,11442.0,11432.5,11437.25
2022-10-27 05:03:00,-153,9.0,11437.0,11439.0,11421.0,11421.75
2022-10-27 05:06:00,-235,19.0,11422.5,11426.0,11411.5,11414.0
2022-10-27 05:09:00,104,22.0,11413.75,11426.5,11413.75,11424.75
2022-10-27 05:12:00,-254,13.0,11425.0,11425.0,11406.75,11408.0
2022-10-27 05:15:00,27,4.0,11407.25,11421.0,11407.0,11419.0
2022-10-27 05:18:00,31,5.0,11419.5,11427.0,11419.0,11425.5
2022-10-27 05:21:00,52,26.0,11425.0,11427.25,11420.0,11426.75
2022-10-27 05:24:00,-86,9.0,11427.0,11427.5,11416.25,11418.75
2022-10-27 05:27:00,68,4.0,11418.75,11422.0,11412.25,11419.75
2022-10-27 05:30:00,-158,3.0,11420.0,11426.0,11407.25,11409.0
2022-10-27 05:33:00,-76,10.0,11409.75,11417.25,11406.75,11414.0
2022-10-27 05:36:00,-29,13.0,11414.5,11418.5,11407.5,11407.5
2022-10-27 05:39:00,-93,9.0,11408.25,11412.5,11402.5,11408.75
2022-10-27 05:42:00,-11,5.0,11408.5,11410.0,11404.5,11405.5
2022-10-27 05:45:00,18,3.0,11406.5,11410.5,11404.0,11409.25
2022-10-27 05:48:00,-16,7.0,11409.75,11414.25,11403.0,11412.75
2022-10-27 05:51:00,-6,8.0,11412.5,11419.25,11408.75,11410.0
2022-10-27 05:54:00,-306,10.0,11410.5,11411.5,11391.75,11397.0
2022-10-27 05:57:00,-24,5.0,11397.25,11399.0,11391.75,11392.0
2022-10-27 06:00:00,-2,6.0,11393.0,11398.75,11392.25,11392.75
2022-10-27 06:03:00,93,6.0,11394.5,11405.25,11388.0,11404.75
2022-10-27 06:06:00,-56,4.0,11404.0,11409.0,11399.75,11404.0
2022-10-27 06:09:00,-73,4.0,11403.75,11406.5,11398.25,11403.0
2022-10-27 06:12:00,75,12.0,11402.5,11408.5,11402.25,11408.0
2022-10-27 06:15:00,-27,4.0,11407.0,11407.0,11401.0,11406.25
2022-10-27 06:18:00,-17,9.0,11405.75,11407.0,11402.75,11406.0
2022-10-27 06:21:00,-103,22.0,11405.0,11405.0,11394.5,11398.25
2022-10-27 06:24:00,-12,2.0,11397.75,11404.0,11396.75,11398.0
2022-10-27 06:27:00,-75,4.0,11397.75,11397.75,11390.0,11394.0
2022-10-27 06:30:00,26,8.0,11393.75,11405.0,11391.75,11404.5
2022-10-27 06:33:00,-89,7.0,11405.25,11406.5,11381.5,11382.0
2022-10-27 06:36:00,-20,6.0,11381.5,11385.25,11375.75,11381.0
2022-10-27 06:39:00,-55,5.0,11380.75,11387.5,11375.75,11376.5
2022-10-27 06:42:00,-101,15.0,11377.25,11379.25,11365.75,11373.0
2022-10-27 06:45:00,122,23.0,11373.0,11381.5,11369.75,11381.0
