Date,Close,High,P_H,Low,P_L,Signal,asset1_returns,strategy_returns
2022-09-19 11:33:36,3883.0,3883.0,3882.8257171405626,3882.75,3882.651608584053,1,6.438735432356957e-05,6.438735432356957e-05
2022-09-19 11:33:38,3883.25,3883.25,3882.8234756199936,3882.75,3882.651067637013,1,6.438320885915338e-05,6.438320885915338e-05
2022-09-19 11:33:40,3883.25,3883.25,3883.318819747281,3883.25,3883.146427743953,1,0.0,0.0
2022-09-19 11:33:42,3884.0,3884.0,3883.5576999045065,3883.5,3883.409680267505,1,0.0001931371917851532,0.0001931371917851532
2022-09-19 11:33:44,3883.5,3883.75,3883.839588901102,3883.5,3883.6470596338654,1,-0.00012873326467555124,-0.00012873326467555124
2022-09-19 11:33:46,3883.5,3883.5,3883.5584602301687,3883.5,3883.40712970488,1,0.0,0.0
2022-09-19 11:33:48,3883.0,3883.0,3883.067102859817,3883.0,3882.894540369614,1,-0.00012874983906274728,-0.00012874983906274728
2022-09-19 11:33:50,3883.25,3883.25,3883.0554816928857,3883.0,3882.8993844897145,1,6.438320885915338e-05,6.438320885915338e-05
2022-09-19 11:33:52,3882.5,3883.0,3883.087203194029,3882.5,3882.889281243733,1,-0.00019313719178526423,-0.00019313719178526423
2022-09-19 11:33:54,3882.25,3882.5,3882.5622585839046,3882.25,3882.404957691615,0,-6.439150032200303e-05,-6.439150032200303e-05
2022-09-19 11:33:56,3882.0,3882.25,3882.3086704176826,3882.0,3882.154256158197,0,-6.439564685423171e-05,-0.0
2022-09-19 11:33:58,3882.0,3882.0,3882.0723576440296,3882.0,3881.909638071735,-1,0.0,0.0
2022-09-19 11:34:00,3882.0,3882.5,3882.566488967252,3882.0,3882.400082361478,0,0.0,-0.0
2022-09-19 11:34:02,3882.0,3882.0,3882.07825158627,3882.0,3881.9219334110335,0,0.0,0.0
2022-09-19 11:34:04,3882.0,3882.25,3882.312704787564,3882.0,3882.1556784525087,0,0.0,0.0
2022-09-19 11:34:06,3882.0,3882.0,3882.067948088956,3882.0,3881.9157641106112,0,0.0,0.0
2022-09-19 11:34:08,3881.75,3881.75,3881.82253144772,3881.75,3881.6587338158574,-1,-6.439979392069972e-05,-0.0
2022-09-19 11:34:10,3881.75,3881.75,3881.808451400113,3881.75,3881.65549793577,-1,0.0,-0.0
2022-09-19 11:34:12,3882.0,3882.0,3881.8165977204,3881.75,3881.65210160993,-1,6.4403941521185e-05,-6.4403941521185e-05
2022-09-19 11:34:14,3882.25,3882.25,3881.839089947932,3881.75,3881.637296604439,-1,6.439979392069972e-05,-6.439979392069972e-05
2022-09-19 11:34:16,3882.0,3882.0,3882.08287690646,3882.0,3881.8953470349807,-1,-6.439564685423171e-05,6.439564685423171e-05
2022-09-19 11:34:18,3882.25,3882.25,3882.2999107134383,3882.25,3882.148630549869,-1,6.439979392069972e-05,-6.439979392069972e-05
2022-09-19 11:34:20,3882.5,3882.75,3882.8092689374366,3882.5,3882.6386721451136,-1,6.439564685423171e-05,-6.439564685423171e-05
2022-09-19 11:34:22,3882.5,3882.5,3882.340346504454,3882.25,3882.1612716104655,-1,0.0,-0.0
2022-09-19 11:34:24,3882.25,3882.25,3882.076559767788,3882.0,3881.904175591813,-1,-6.439150032200303e-05,6.439150032200303e-05
2022-09-19 11:34:26,3882.75,3882.75,3882.790658551023,3882.75,3882.6332155842415,-1,0.00012879129370846343,-0.00012879129370846343
2022-09-19 11:34:28,3882.5,3882.5,3882.591773621734,3882.5,3882.394329238744,-1,-6.438735432356957e-05,6.438735432356957e-05
2022-09-19 11:34:30,3882.75,3882.75,3882.8150726136646,3882.75,3882.6426207642994,-1,6.439150032200303e-05,-6.439150032200303e-05
2022-09-19 11:34:32,3882.75,3882.75,3882.821467988189,3882.75,3882.64251324523,-1,0.0,-0.0
2022-09-19 11:34:34,3882.5,3882.75,3882.823163586424,3882.5,3882.645541869205,0,-6.438735432356957e-05,6.438735432356957e-05
2022-09-19 11:34:36,3882.75,3882.75,3882.805703717039,3882.75,3882.649525471624,1,6.439150032200303e-05,0.0
2022-09-19 11:34:38,3882.0,3882.5,3882.582345562742,3882.0,3882.396045832592,0,-0.00019316206297081973,-0.00019316206297081973
2022-09-19 11:34:40,3882.0,3882.0,3882.0570015413778,3882.0,3881.901867228466,-1,0.0,0.0
2022-09-19 11:34:42,3882.5,3882.5,3882.061640127371,3882.0,3881.896326165066,0,0.00012879958784139944,-0.00012879958784139944
2022-09-19 11:34:44,3882.25,3882.25,3882.355081158516,3882.25,3882.129136798697,0,-6.439150032200303e-05,-0.0
2022-09-19 11:34:46,3882.25,3882.25,3882.32322042108,3882.25,3882.148139260029,1,0.0,0.0
2022-09-19 11:34:48,3882.0,3882.0,3882.066749207917,3882.0,3881.8922777988496,1,-6.439564685423171e-05,-6.439564685423171e-05
2022-09-19 11:34:50,3882.0,3882.0,3881.8154189793686,3881.75,3881.6530282040376,0,0.0,0.0
2022-09-19 11:34:52,3881.75,3881.75,3881.8235366547256,3881.75,3881.6444437651744,0,-6.439979392069972e-05,-0.0
2022-09-19 11:34:54,3881.75,3881.75,3881.571644565306,3881.5,3881.401608317464,0,0.0,0.0
2022-09-19 11:34:56,3881.5,3881.75,3881.817702075258,3881.5,3881.643202394073,-1,-6.4403941521185e-05,-0.0
2022-09-19 11:34:58,3881.25,3881.25,3881.080281039916,3881.0,3880.9109565678505,-1,-6.440808965602063e-05,6.440808965602063e-05
2022-09-19 11:35:00,3881.0,3881.25,3881.307368025845,3881.0,3881.144809129633,-1,-6.441223832531762e-05,6.441223832531762e-05
2022-09-19 11:35:02,3881.25,3881.25,3881.063818327921,3881.0,3880.911863553496,-1,6.441638752896495e-05,-6.441638752896495e-05
2022-09-19 11:35:04,3881.25,3881.25,3880.8451072466414,3880.75,3880.6410255100095,-1,0.0,-0.0
2022-09-19 11:35:06,3880.75,3880.75,3880.839181500242,3880.75,3880.629104269982,-1,-0.0001288244766505242,0.0001288244766505242
2022-09-19 11:35:08,3880.25,3880.5,3880.556161480711,3880.25,3880.391302608132,-1,-0.00012884107453459137,0.00012884107453459137
2022-09-19 11:35:10,3880.25,3880.5,3880.5393893577534,3880.25,3880.407527160946,-1,0.0,-0.0
2022-09-19 11:35:12,3880.25,3880.5,3880.570181594021,3880.25,3880.40810378482,-1,0.0,-0.0
2022-09-19 11:35:14,3880.0,3880.25,3880.337559868101,3880.0,3880.152504171881,-1,-6.442883834800739e-05,6.442883834800739e-05
2022-09-19 11:35:16,3879.75,3879.75,3879.822768379454,3879.75,3879.654371091718,-1,-6.443298969072142e-05,6.443298969072142e-05
2022-09-19 11:35:18,3879.75,3879.75,3879.805496916836,3879.75,3879.65337877235,-1,0.0,-0.0
2022-09-19 11:35:20,3879.75,3879.75,3879.819472060514,3879.75,3879.654008322833,-1,0.0,-0.0
2022-09-19 11:35:22,3879.75,3879.75,3879.823607192349,3879.75,3879.6550055773264,-1,0.0,-0.0
2022-09-19 11:35:24,3879.75,3879.75,3879.5750644067048,3879.5,3879.407556977289,-1,0.0,-0.0
2022-09-19 11:35:26,3879.75,3879.75,3879.813303695035,3879.75,3879.648836276904,-1,0.0,-0.0
2022-09-19 11:35:28,3879.5,3879.75,3879.8150508263834,3879.5,3879.6570530139024,-1,-6.443714156845193e-05,6.443714156845193e-05
2022-09-19 11:35:30,3879.25,3879.5,3879.558914885831,3879.25,3879.4132203130575,-1,-6.444129398119891e-05,6.444129398119891e-05
2022-09-19 11:35:32,3878.75,3879.0,3879.063467726772,3878.75,3878.91267209388,-1,-0.00012889089385836883,0.00012889089385836883
2022-09-19 11:35:34,3878.5,3878.5,3878.559652456376,3878.5,3878.410378429248,-1,-6.445375443120405e-05,6.445375443120405e-05
2022-09-19 11:35:36,3878.25,3878.5,3878.561145097648,3878.25,3878.400011107172,-1,-6.445790898546022e-05,6.445790898546022e-05
2022-09-19 11:35:38,3878.5,3878.5,3878.3202382413806,3878.25,3878.1590292014025,-1,6.446206407528798e-05,-6.446206407528798e-05
2022-09-19 11:35:40,3878.0,3878.5,3878.5830127489608,3878.0,3878.3873659292394,-1,-0.00012891581797092044,0.00012891581797092044
2022-09-19 11:35:42,3878.75,3878.75,3878.7970043348696,3878.75,3878.647624810024,-1,0.00019339865910272813,-0.00019339865910272813
2022-09-19 11:35:44,3879.0,3879.0,3878.3520586188456,3878.25,3878.143775934644,-1,6.445375443120405e-05,-6.445375443120405e-05
2022-09-19 11:35:46,3879.0,3879.0,3879.083516433926,3879.0,3878.878975149103,-1,0.0,-0.0
2022-09-19 11:35:48,3879.5,3879.5,3879.542293038718,3879.5,3879.409986536851,-1,0.00012889920082503892,-0.00012889920082503892
2022-09-19 11:35:50,3878.75,3879.0,3879.0816238131406,3878.75,3878.913061279646,-1,-0.00019332388194359673,0.00019332388194359673
2022-09-19 11:35:52,3878.75,3878.75,3878.795858810745,3878.75,3878.6466635860015,-1,0.0,-0.0
2022-09-19 11:35:54,3878.75,3878.75,3878.802156442937,3878.75,3878.643827374043,-1,0.0,-0.0
2022-09-19 11:35:56,3879.0,3879.0,3878.8288230841727,3878.75,3878.6434067432288,-1,6.445375443120405e-05,-6.445375443120405e-05
2022-09-19 11:35:58,3878.75,3878.75,3878.839644600157,3878.75,3878.641024441408,-1,-6.444960041251946e-05,6.444960041251946e-05
2022-09-19 11:36:00,3878.0,3878.5,3878.5677581608234,3878.0,3878.393854939398,-1,-0.00019336126329361214,0.00019336126329361214
