Date,BidAsk,Vol,Open,High,Low,Close
2022-09-19 11:18:00,34,256,3899.25,3899.5,3899.25,3899.5
2022-09-19 11:18:02,-9,137,3899.25,3899.25,3899.25,3899.25
2022-09-19 11:18:04,49,122,3899.25,3899.5,3899.25,3899.5
2022-09-19 11:18:06,221,437,3899.75,3900.75,3899.75,3900.75
2022-09-19 11:18:08,100,517,3901.25,3901.75,3901.25,3901.75
2022-09-19 11:18:10,40,395,3901.25,3901.5,3901.25,3901.5
2022-09-19 11:18:12,-29,179,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:14,246,927,3902.75,3902.75,3902.5,3902.5
2022-09-19 11:18:16,-105,511,3902.5,3902.5,3902.5,3902.5
2022-09-19 11:18:18,21,330,3901.5,3902.25,3901.5,3902.25
2022-09-19 11:18:20,6,394,3902.25,3902.25,3902.25,3902.25
2022-09-19 11:18:22,7,251,3902.5,3902.5,3902.25,3902.25
2022-09-19 11:18:24,-34,254,3902.5,3902.5,3902.25,3902.25
2022-09-19 11:18:26,11,299,3901.75,3902.25,3901.75,3902.25
2022-09-19 11:18:28,0,87,3902.0,3902.0,3902.0,3902.0
2022-09-19 11:18:30,-57,191,3902.25,3902.25,3902.0,3902.0
2022-09-19 11:18:32,-26,105,3902.0,3902.0,3901.5,3901.5
2022-09-19 11:18:34,1,101,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:36,-8,54,3901.5,3901.5,3901.5,3901.5
2022-09-19 11:18:38,-22,332,3901.5,3901.5,3901.25,3901.25
2022-09-19 11:18:40,-30,317,3900.75,3900.75,3900.5,3900.5
2022-09-19 11:18:42,-52,355,3900.25,3900.25,3900.25,3900.25
2022-09-19 11:18:44,-122,505,3900.0,3900.0,3899.25,3899.25
2022-09-19 11:18:46,7,128,3899.0,3899.0,3898.75,3898.75
2022-09-19 11:18:48,-3,172,3898.75,3899.0,3898.75,3899.0
2022-09-19 11:18:50,16,86,3899.0,3899.25,3899.0,3899.25
2022-09-19 11:18:52,-30,175,3899.0,3899.0,3899.0,3899.0
2022-09-19 11:18:54,12,57,3898.75,3898.75,3898.75,3898.75
2022-09-19 11:18:56,-14,26,3899.0,3899.0,3898.75,3898.75
2022-09-19 11:18:58,-35,375,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:00,-53,211,3898.0,3898.0,3897.75,3897.75
2022-09-19 11:19:02,4,377,3898.25,3898.5,3898.25,3898.5
2022-09-19 11:19:04,42,107,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:06,-7,38,3898.5,3898.5,3898.5,3898.5
2022-09-19 11:19:08,-37,554,3898.25,3898.25,3898.25,3898.25
2022-09-19 11:19:10,-5,356,3898.25,3898.25,3898.0,3898.0
2022-09-19 11:19:12,-56,95,3897.75,3897.75,3897.75,3897.75
2022-09-19 11:19:14,-10,133,3897.25,3897.25,3897.25,3897.25
2022-09-19 11:19:16,-23,117,3897.25,3897.25,3897.0,3897.0
2022-09-19 11:19:18,1,55,3897.0,3897.0,3897.0,3897.0
2022-09-19 11:19:20,2,86,3897.0,3897.0,3896.75,3896.75
2022-09-19 11:19:22,0,111,3897.0,3897.0,3896.75,3896.75
2022-09-19 11:19:24,1,81,3896.75,3897.0,3896.75,3897.0
2022-09-19 11:19:26,-120,335,3897.0,3897.0,3896.5,3896.5
2022-09-19 11:19:28,-3,106,3896.5,3896.5,3896.25,3896.25
2022-09-19 11:19:30,-24,127,3896.25,3896.25,3896.25,3896.25
2022-09-19 11:19:32,3,123,3896.25,3896.25,3896.25,3896.25
2022-09-19 11:19:34,-5,92,3896.0,3896.0,3896.0,3896.0
2022-09-19 11:19:36,-33,139,3896.0,3896.0,3895.75,3895.75
2022-09-19 11:19:38,-11,69,3895.75,3895.75,3895.75,3895.75
2022-09-19 11:19:40,22,154,3895.5,3896.25,3895.5,3896.25
