Date,Vol,BidAsk,Price,BidAskCum
2022-10-03 12:30:00,110,-18,3662.75,13093
2022-10-03 12:30:01,28,-4,3662.5,13089
2022-10-03 12:30:02,12,-9,3662.5,13080
2022-10-03 12:30:03,77,15,3663.0,13095
2022-10-03 12:30:04,8,3,3663.0,13098
2022-10-03 12:30:05,37,-4,3663.0,13094
2022-10-03 12:30:06,10,7,3662.75,13101
2022-10-03 12:30:07,11,7,3662.75,13108
2022-10-03 12:30:08,47,-8,3662.75,13100
2022-10-03 12:30:09,25,2,3662.75,13102
2022-10-03 12:30:10,119,-61,3663.0,13041
2022-10-03 12:30:11,18,-8,3662.75,13033
2022-10-03 12:30:12,11,9,3662.75,13042
2022-10-03 12:30:13,33,-1,3663.0,13041
2022-10-03 12:30:14,55,-24,3662.75,13017
2022-10-03 12:30:15,93,-25,3662.5,12992
2022-10-03 12:30:16,29,-15,3662.25,12977
2022-10-03 12:30:17,54,0,3662.25,12977
2022-10-03 12:30:18,111,-69,3662.25,12908
2022-10-03 12:30:19,73,7,3662.25,12915
2022-10-03 12:30:20,44,3,3662.5,12918
2022-10-03 12:30:21,47,-16,3662.0,12902
2022-10-03 12:30:22,54,-8,3661.5,12894
2022-10-03 12:30:23,78,18,3662.0,12912
2022-10-03 12:30:24,59,10,3662.25,12922
2022-10-03 12:30:25,39,-18,3662.0,12904
2022-10-03 12:30:26,1,1,3661.75,12905
2022-10-03 12:30:27,58,-22,3661.75,12883
2022-10-03 12:30:28,33,-8,3661.5,12875
2022-10-03 12:30:29,297,-82,3661.25,12793
2022-10-03 12:30:30,29,2,3660.75,12795
2022-10-03 12:30:31,47,-15,3660.75,12780
2022-10-03 12:30:32,70,-46,3660.75,12734
2022-10-03 12:30:33,81,8,3660.75,12742
2022-10-03 12:30:34,55,7,3660.75,12749
2022-10-03 12:30:35,76,-40,3660.75,12709
2022-10-03 12:30:36,27,0,3660.5,12709
2022-10-03 12:30:37,11,-5,3660.75,12704
2022-10-03 12:30:38,62,25,3661.25,12729
2022-10-03 12:30:39,34,-2,3661.0,12727
2022-10-03 12:30:40,47,0,3661.25,12727
2022-10-03 12:30:41,40,12,3661.25,12739
2022-10-03 12:30:42,58,-10,3661.25,12729
2022-10-03 12:30:43,16,1,3661.0,12730
2022-10-03 12:30:44,33,-10,3660.75,12720
2022-10-03 12:30:45,63,7,3661.0,12727
2022-10-03 12:30:46,31,9,3660.75,12736
2022-10-03 12:30:47,33,2,3661.0,12738
2022-10-03 12:30:48,45,-6,3661.0,12732
2022-10-03 12:30:49,60,5,3661.0,12737
2022-10-03 12:30:50,47,-18,3661.25,12719
2022-10-03 12:30:51,102,-37,3660.75,12682
2022-10-03 12:30:52,25,14,3660.75,12696
2022-10-03 12:30:53,5,-5,3660.5,12691
2022-10-03 12:30:54,69,22,3661.0,12713
2022-10-03 12:30:55,29,-4,3661.25,12709
2022-10-03 12:30:56,22,-12,3661.0,12697
